data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 170   0.962        ['cuisine', 'internet_access', 'wheelchair', 'smoking']=>['opening_hours', 'internet_access:fee']
 171   0.962        ['internet_access', 'wheelchair', 'smoking']=>['cuisine', 'opening_hours', 'internet_access:fee']
 172   0.962        ['cuisine', 'internet_access:fee', 'wheelchair']=>['smoking', 'opening_hours', 'internet_access']
 173   0.962        ['cuisine', 'internet_access', 'wheelchair']=>['opening_hours', 'internet_access:fee', 'smoking']
 174   0.962        ['internet_access', 'internet_access:fee', 'wheelchair']=>['cuisine', 'opening_hours', 'smoking']
 175   0.962        ['wheelchair', 'internet_access:fee', 'smoking']=>['cuisine', 'opening_hours', 'internet_access']
 176   0.962        ['internet_access:fee', 'wheelchair']=>['cuisine', 'smoking', 'opening_hours', 'internet_access']
 177   0.962        ['internet_access', 'wheelchair']=>['cuisine', 'opening_hours', 'internet_access:fee', 'smoking']
 178   0.960        ['outdoor_seating', 'smoking']=>['cuisine']
 179   0.958        ['cuisine', 'phone', 'addr:housenumber']=>['addr:street']
 180   0.950        ['cuisine', 'wheelchair']=>['smoking']
 181   0.947        ['wheelchair', 'smoking']=>['opening_hours']
 182   0.947        ['cuisine', 'wheelchair', 'smoking']=>['opening_hours']
 183   0.947        ['wheelchair', 'smoking']=>['cuisine', 'opening_hours']
 184   0.941        ['smoking', 'internet_access']=>['internet_access:fee']
 185   0.941        ['internet_access', 'smoking']=>['cuisine']
 186   0.939        ['internet_access:fee']=>['cuisine', 'smoking']
 187   0.939        ['internet_access:fee', 'internet_access']=>['cuisine', 'smoking']
 188   0.939        ['internet_access:fee']=>['cuisine', 'smoking', 'internet_access']
 189   0.938        ['cuisine', 'internet_access:fee']=>['opening_hours']
 190   0.938        ['internet_access:fee', 'smoking']=>['opening_hours']
 191   0.938        ['cuisine', 'internet_access:fee', 'internet_access']=>['opening_hours']
 192   0.938        ['cuisine', 'internet_access:fee']=>['opening_hours', 'internet_access']
 193   0.938        ['smoking', 'internet_access:fee', 'internet_access']=>['opening_hours']
 194   0.938        ['internet_access:fee', 'smoking']=>['opening_hours', 'internet_access']
 195   0.938        ['cuisine', 'internet_access', 'smoking']=>['opening_hours']
 196   0.938        ['internet_access:fee', 'smoking']=>['cuisine', 'opening_hours']
 197   0.938        ['cuisine', 'internet_access:fee']=>['opening_hours', 'smoking']
 198   0.938        ['internet_access', 'internet_access:fee', 'smoking']=>['cuisine', 'opening_hours']
 199   0.938        ['cuisine', 'internet_access:fee', 'internet_access']=>['opening_hours', 'smoking']
 200   0.938        ['cuisine', 'internet_access', 'smoking']=>['opening_hours', 'internet_access:fee']
 201   0.938        ['cuisine', 'internet_access:fee']=>['smoking', 'opening_hours', 'internet_access']
 202   0.938        ['internet_access:fee', 'smoking']=>['cuisine', 'opening_hours', 'internet_access']
 203   0.929        ['takeaway', 'opening_hours']=>['cuisine']
 204   0.929        ['takeaway', 'opening_hours']=>['smoking']
 205   0.925        ['outdoor_seating']=>['cuisine']
 206   0.925        ['cuisine', 'wheelchair']=>['opening_hours']
 207   0.925        ['opening_hours', 'internet_access']=>['cuisine']
 208   0.919        ['takeaway', 'smoking']=>['cuisine']
 209   0.918        ['smoking']=>['cuisine']
