data_length : 28          min_support_num : 1 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 207   1.000        ['attraction', '爨底下', 'village']=>['Q954362']
 208   1.000        ['attraction', 'Q954362', 'village']=>['爨底下']
 209   1.000        ['attraction', '爨底下', 'Q954362']=>['village']
 210   1.000        ['attraction', 'village']=>['爨底下', 'Q954362']
 211   1.000        ['attraction', '爨底下']=>['Q954362', 'village']
 212   1.000        ['attraction', 'Q954362']=>['爨底下', 'village']
 213   1.000        ['爨底下', 'village']=>['attraction', 'Q954362']
 214   1.000        ['爨底下', 'Q954362']=>['attraction', 'village']
 215   1.000        ['Q954362', 'village']=>['attraction', '爨底下']
 216   1.000        ['Q954362']=>['attraction', '爨底下', 'village']
 217   1.000        ['爨底下']=>['attraction', 'Q954362', 'village']
 218   1.000        ['village']=>['attraction', '爨底下', 'Q954362']
 219   1.000        ['attraction', '爨底下', 'en:Cuandixia']=>['cuàndǐxia cūn']
 220   1.000        ['爨底下', 'en:Cuandixia', 'cuàndǐxia cūn']=>['attraction']
 221   1.000        ['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']=>['爨底下']
 222   1.000        ['attraction', '爨底下', 'cuàndǐxia cūn']=>['en:Cuandixia']
 223   1.000        ['attraction', '爨底下']=>['en:Cuandixia', 'cuàndǐxia cūn']
 224   1.000        ['爨底下', 'cuàndǐxia cūn']=>['attraction', 'en:Cuandixia']
 225   1.000        ['爨底下', 'en:Cuandixia']=>['attraction', 'cuàndǐxia cūn']
 226   1.000        ['attraction', 'en:Cuandixia']=>['爨底下', 'cuàndǐxia cūn']
 227   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['attraction', '爨底下']
 228   1.000        ['attraction', 'cuàndǐxia cūn']=>['爨底下', 'en:Cuandixia']
 229   1.000        ['en:Cuandixia']=>['attraction', '爨底下', 'cuàndǐxia cūn']
 230   1.000        ['cuàndǐxia cūn']=>['attraction', '爨底下', 'en:Cuandixia']
 231   1.000        ['爨底下']=>['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']
 232   1.000        ['attraction', 'Q954362', 'en:Cuandixia']=>['cuàndǐxia cūn']
 233   1.000        ['Q954362', 'en:Cuandixia', 'cuàndǐxia cūn']=>['attraction']
 234   1.000        ['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']=>['Q954362']
 235   1.000        ['attraction', 'Q954362', 'cuàndǐxia cūn']=>['en:Cuandixia']
 236   1.000        ['attraction', 'cuàndǐxia cūn']=>['Q954362', 'en:Cuandixia']
 237   1.000        ['attraction', 'Q954362']=>['en:Cuandixia', 'cuàndǐxia cūn']
 238   1.000        ['Q954362', 'cuàndǐxia cūn']=>['attraction', 'en:Cuandixia']
 239   1.000        ['Q954362', 'en:Cuandixia']=>['attraction', 'cuàndǐxia cūn']
 240   1.000        ['attraction', 'en:Cuandixia']=>['Q954362', 'cuàndǐxia cūn']
 241   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['attraction', 'Q954362']
 242   1.000        ['en:Cuandixia']=>['attraction', 'Q954362', 'cuàndǐxia cūn']
 243   1.000        ['cuàndǐxia cūn']=>['attraction', 'Q954362', 'en:Cuandixia']
 244   1.000        ['Q954362']=>['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']
 245   1.000        ['attraction', 'village', 'en:Cuandixia']=>['cuàndǐxia cūn']
 246   1.000        ['village', 'en:Cuandixia', 'cuàndǐxia cūn']=>['attraction']
 247   1.000        ['attraction', 'village', 'cuàndǐxia cūn']=>['en:Cuandixia']
 248   1.000        ['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']=>['village']
 249   1.000        ['attraction', 'cuàndǐxia cūn']=>['village', 'en:Cuandixia']
 250   1.000        ['attraction', 'village']=>['en:Cuandixia', 'cuàndǐxia cūn']
 251   1.000        ['attraction', 'en:Cuandixia']=>['village', 'cuàndǐxia cūn']
 252   1.000        ['village', 'cuàndǐxia cūn']=>['attraction', 'en:Cuandixia']
 253   1.000        ['village', 'en:Cuandixia']=>['attraction', 'cuàndǐxia cūn']
 254   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['attraction', 'village']
 255   1.000        ['cuàndǐxia cūn']=>['attraction', 'village', 'en:Cuandixia']
 256   1.000        ['village']=>['attraction', 'en:Cuandixia', 'cuàndǐxia cūn']
 257   1.000        ['en:Cuandixia']=>['attraction', 'village', 'cuàndǐxia cūn']
 258   1.000        ['Q954362', 'village', 'en:Cuandixia']=>['attraction']
 259   1.000        ['attraction', 'village', 'en:Cuandixia']=>['Q954362']
 260   1.000        ['attraction', 'Q954362', 'village']=>['en:Cuandixia']
 261   1.000        ['attraction', 'Q954362', 'en:Cuandixia']=>['village']
 262   1.000        ['attraction', 'Q954362']=>['village', 'en:Cuandixia']
 263   1.000        ['attraction', 'village']=>['Q954362', 'en:Cuandixia']
 264   1.000        ['Q954362', 'village']=>['attraction', 'en:Cuandixia']
 265   1.000        ['attraction', 'en:Cuandixia']=>['Q954362', 'village']
 266   1.000        ['village', 'en:Cuandixia']=>['attraction', 'Q954362']
 267   1.000        ['Q954362', 'en:Cuandixia']=>['attraction', 'village']
 268   1.000        ['Q954362']=>['attraction', 'village', 'en:Cuandixia']
 269   1.000        ['village']=>['attraction', 'Q954362', 'en:Cuandixia']
 270   1.000        ['en:Cuandixia']=>['attraction', 'Q954362', 'village']
 271   1.000        ['爨底下', 'village', 'en:Cuandixia']=>['attraction']
 272   1.000        ['attraction', 'village', 'en:Cuandixia']=>['爨底下']
 273   1.000        ['attraction', '爨底下', 'village']=>['en:Cuandixia']
 274   1.000        ['attraction', '爨底下', 'en:Cuandixia']=>['village']
 275   1.000        ['attraction', '爨底下']=>['village', 'en:Cuandixia']
 276   1.000        ['爨底下', 'village']=>['attraction', 'en:Cuandixia']
 277   1.000        ['attraction', 'en:Cuandixia']=>['爨底下', 'village']
 278   1.000        ['爨底下', 'en:Cuandixia']=>['attraction', 'village']
 279   1.000        ['village', 'en:Cuandixia']=>['attraction', '爨底下']
 280   1.000        ['attraction', 'village']=>['爨底下', 'en:Cuandixia']
 281   1.000        ['爨底下']=>['attraction', 'village', 'en:Cuandixia']
 282   1.000        ['en:Cuandixia']=>['attraction', '爨底下', 'village']
 283   1.000        ['village']=>['attraction', '爨底下', 'en:Cuandixia']
 284   1.000        ['爨底下', 'village', 'en:Cuandixia']=>['Q954362']
 285   1.000        ['Q954362', 'village', 'en:Cuandixia']=>['爨底下']
 286   1.000        ['爨底下', 'Q954362', 'village']=>['en:Cuandixia']
 287   1.000        ['爨底下', 'Q954362', 'en:Cuandixia']=>['village']
 288   1.000        ['爨底下', 'Q954362']=>['village', 'en:Cuandixia']
 289   1.000        ['爨底下', 'village']=>['Q954362', 'en:Cuandixia']
 290   1.000        ['village', 'en:Cuandixia']=>['爨底下', 'Q954362']
 291   1.000        ['爨底下', 'en:Cuandixia']=>['Q954362', 'village']
 292   1.000        ['Q954362', 'en:Cuandixia']=>['爨底下', 'village']
 293   1.000        ['Q954362', 'village']=>['爨底下', 'en:Cuandixia']
 294   1.000        ['en:Cuandixia']=>['爨底下', 'Q954362', 'village']
 295   1.000        ['爨底下']=>['Q954362', 'village', 'en:Cuandixia']
 296   1.000        ['Q954362']=>['爨底下', 'village', 'en:Cuandixia']
 297   1.000        ['village']=>['爨底下', 'Q954362', 'en:Cuandixia']
 298   1.000        ['attraction', '爨底下', 'Q954362']=>['cuàndǐxia cūn']
 299   1.000        ['爨底下', 'Q954362', 'cuàndǐxia cūn']=>['attraction']
 300   1.000        ['attraction', '爨底下', 'cuàndǐxia cūn']=>['Q954362']
 301   1.000        ['attraction', 'Q954362', 'cuàndǐxia cūn']=>['爨底下']
 302   1.000        ['attraction', 'cuàndǐxia cūn']=>['爨底下', 'Q954362']
 303   1.000        ['爨底下', 'Q954362']=>['attraction', 'cuàndǐxia cūn']
